chef_name,restaurant_name,address,cuisine_type,chef_comment,best_dish
Olivier Daniel,Babel Babel,"2 Cr Jacques Chirac, 06300 Nice",French,,
Olivier Daniel,Cinq,"5 Rue de la Bourgade, 06140 Tourrettes-sur-Loup",Nordic/Danish,"5-course menu that changes every day, Danish chef, unique location.",
Olivier Daniel,Le Ponpon,"4 Rue Emile Négrin, 06400 Cannes",,,
Olivier Daniel,Le Canon,"23 Rue Meyerbeer, 06000 Nice",Bistro,"Bistro with 100% local products, a lot of seafood and meat on the plate, and vintage natural wines, a must!",
Olivier Daniel,Dussal Cave a Manger,"2 Pl. Surian, 06140 Vence",,"Hugo has worked in some beautiful establishments, Christophe Dufau among others, and has opened a cave à manger full of surprises.",
Olivier Daniel,Les Dilettants,"1193 Chem. de Saint-Bernard, 06220 Vallauris",,,
Olivier Daniel,La Part des Anges,"17 Rue Gubernatis, 06000 Nice",,"For a very boozy lunch, the lunch menu changes every day, its set, there is no choice and that is what is good.",
Olivier Daniel,L'Autobus,"142 Av. de Gairaut, 06100 Nice",Niçoise,"Niçoise cuisine, ravioli, daube, farcis and more (served by the fireplace in winter and in the garden with a petanque court in summer).",
Olivier Daniel,Hostellerie Jérôme,"20 Rue du Comté de Cessole, 06320 La Turbie",Gastro,"A pretty classic gastro which is very good value for money, a must!",
Olivier Daniel,La Merenda,"4 Rue Raoul Bosio, 06300 Nice",,To eat local chic.,
Olivier Daniel,Banh Mei,"6 Rue Rossetti, 06300 Nice",Vietnamese,The pho is to die for.,Pho
Olivier Daniel,Epiro,"53 Bd Stalingrad, 06300 Nice",Italian,"Amatriciana + deep fried burrata, mama mia!!","Amatriciana, Deep fried burrata"
Sébastien Perinetti,Le Canon,"23 Rue Meyerbeer, 06000 Nice",French,,
Sébastien Perinetti,L'Auberge de la Roche,"La Roche, 06420 Valdeblore",,"A must. The products and the precision, a journey! A wine list of the highest quality. A rare place, where Micka, Louis-Philippe, and Alexis amaze us.",
Sébastien Perinetti,Le Bistrot du Port,"53 Av. des Frères Roustan, 06220 Golfe Juan (Le)",,We come here for the fish. Super bouillabaisse. A cuisine committed to the sea and local catch. A real treat!,Bouillabaisse
Sébastien Perinetti,Lou'Bar,"3 Rue des Mesures, 06270 Villeneuve-Loubet",,"Pierrot's pirate lair. Beautiful wines, snacks to nibble on, and now a nice table open on the weekend with a menu.",
Sébastien Perinetti,Entre 2 Vins,"2 Rue James Close, 06600 Antibes",,Mathieu's delicious dishes and Franck's superb selection of wines make this a very appealing bistro!,
Sébastien Perinetti,La Table des Baous,"42 Rue nationale, 06640 Saint-Jeannet",,"The show on the plate, and in the room when Seb comes out of the kitchen. Beautiful local products on the menu, it's great!",
Sébastien Perinetti,Auberge de Sauze,"Pl. de la Mairie, 06470 Sauze",,"Beautiful local produce and exciting cuisine from Thomas, who, assisted by Anaïs, delight us in one of the most beautiful valleys of the region. A small selection of wines that we like.",
Sébastien Perinetti,Lavomatique,"11 Rue du Pont Vieux, 06300 Nice",,"Hugo serves bomb small dishes, gourmet and tasty, a blast! And one of the few to offer exciting vintage wines. Top!",
Sébastien Perinetti,Mallard,"6 Rue Maraldi, 06300 Nice",,"Nino's beautiful touch in the kitchen, Guigui as zébulon in the dining room, a bistro menu, and a lot of things to drink from a constantly expanding wine list.",
Sébastien Perinetti,Les Dilettants,"1193 Chem. de Saint-Bernard, 06220 Vallauris",,"Thomas's lively cuisine, tasteful, with produce that sometimes comes out of the adjoining garden. A great getaway!",
